vision_encoder,text_encoder,vision_setup,fusion_type,use_local_blf,use_global_blf,val_loss,i2t_R@1,i2t_R@5,i2t_R@10,t2i_R@1,t2i_R@5,t2i_R@10,mean_rank_i2t,median_rank_i2t,mean_rank_t2i,median_rank_t2i,params_total,params_trainable
dinov2_vits14,e5_small_v2,dinov2_vits14 local,concat_mlp,True,False,0.7947490228505074,0.07519999891519547,0.23880000412464142,0.36579999327659607,0.09440000355243683,0.27720001339912415,0.40540000796318054,53.344200134277344,19.0,47.595001220703125,16.0,56673377.0,1256801.0
dinov2_vits14,all_minilm_l6_v2,dinov2_vits14 local,concat_mlp,True,False,0.640609526936012,0.11659999936819077,0.33399999141693115,0.4717999994754791,0.14100000262260437,0.37119999527931213,0.5180000066757202,38.66960144042969,12.0,37.20880126953125,10.0,46026593.0,1256801.0
dinov2_vits14,minilm_l6,dinov2_vits14 local,concat_mlp,True,False,0.640609526936012,0.11659999936819077,0.33399999141693115,0.4717999994754791,0.14100000262260437,0.37119999527931213,0.5180000066757202,38.66960144042969,12.0,37.20880126953125,10.0,46026593.0,1256801.0
dinov2_vits14,distilbert,dinov2_vits14 local,concat_mlp,True,False,1.1743840379051016,0.03739999979734421,0.14339999854564667,0.23639999330043793,0.04699999839067459,0.17720000445842743,0.27880001068115234,86.65299987792969,34.0,88.59719848632812,30.0,89872865.0,1453409.0
swin_tiny,bge_small_en,swin_tiny local,concat_mlp,True,False,0.8888785935278181,0.07339999824762344,0.2298000007867813,0.35100001096725464,0.0812000036239624,0.25619998574256897,0.37139999866485596,61.19599914550781,20.0,59.92940139770508,19.0,62332763.0,1453409.0
swin_tiny,e5_small_v2,swin_tiny local,concat_mlp,True,False,1.0709736999831623,0.05119999870657921,0.16760000586509705,0.2720000147819519,0.06199999898672104,0.20340000092983246,0.3025999963283539,81.3855972290039,29.0,67.9988021850586,26.0,62332763.0,1453409.0
swin_tiny,all_minilm_l6_v2,swin_tiny local,concat_mlp,True,False,0.8061901349810106,0.09000000357627869,0.2671999931335449,0.3968000113964081,0.10480000078678131,0.2930000126361847,0.4284000098705292,57.66339874267578,17.0,51.92959976196289,14.0,51685979.0,1453409.0
swin_tiny,minilm_l6,swin_tiny local,concat_mlp,True,False,0.8061901349810106,0.09000000357627869,0.2671999931335449,0.3968000113964081,0.10480000078678131,0.2930000126361847,0.4284000098705292,57.66339874267578,17.0,51.92959976196289,14.0,51685979.0,1453409.0
swin_tiny,distilbert,swin_tiny local,concat_mlp,True,False,1.6367751654190352,0.02280000038444996,0.08900000154972076,0.1542000025510788,0.026000000536441803,0.09860000014305115,0.16660000383853912,170.3258056640625,58.0,141.5070037841797,52.0,95532251.0,1650017.0
efficientnet_b0,bge_small_en,efficientnet_b0 local,concat_mlp,True,False,1.075473334593109,0.05620000138878822,0.1860000044107437,0.29499998688697815,0.06639999896287918,0.20340000092983246,0.31439998745918274,82.8738021850586,27.0,71.63980102539062,25.0,39083101.0,1715553.0
