config_id,vision_encoder,text_encoder,variant,task_id,raw_value,normalised_score,rank,absolute_gap_to_best,relative_gap_to_best
convnextv2_tiny__bge_small_en__baseline,convnextv2_tiny,bge_small_en,baseline,coco_t2i,0.1453985720872879,0.9060786598977116,9.0,0.015071570873260498,0.09392134010228836
convnextv2_tiny__distilbert__baseline,convnextv2_tiny,distilbert,baseline,coco_t2i,0.1056208536028862,0.6581962952999493,16.0,0.0548492893576622,0.3418037047000507
convnextv2_tiny__e5_small_v2__baseline,convnextv2_tiny,e5_small_v2,baseline,coco_t2i,0.130606859922409,0.8139013121868952,12.0,0.0298632830381394,0.1860986878131048
dinov2_vits14__all_minilm_l6_v2__baseline,dinov2_vits14,all_minilm_l6_v2,baseline,coco_t2i,0.1543535590171814,0.9618833520646219,4.0,0.006116583943367004,0.038116647935378056
dinov2_vits14__bge_small_en__baseline,dinov2_vits14,bge_small_en,baseline,coco_t2i,0.1506756246089935,0.9389636092368729,6.0,0.009794518351554898,0.06103639076312706
dinov2_vits14__distilbert__baseline,dinov2_vits14,distilbert,baseline,coco_t2i,0.110458143055439,0.6883407780261973,15.0,0.050011999905109406,0.3116592219738027
dinov2_vits14__e5_small_v2__baseline,dinov2_vits14,e5_small_v2,baseline,coco_t2i,0.1341648697853088,0.8360737225634133,11.0,0.02630527317523959,0.16392627743658672
efficientnet_b0__all_minilm_l6_v2__baseline,efficientnet_b0,all_minilm_l6_v2,baseline,coco_t2i,0.098424881696701,0.6133532374361925,19.0,0.06204526126384741,0.3866467625638075
efficientnet_b0__distilbert__baseline,efficientnet_b0,distilbert,baseline,coco_t2i,0.0594067312777042,0.37020426467937617,23.0,0.1010634116828442,0.6297957353206238
efficientnet_b0__e5_small_v2__baseline,efficientnet_b0,e5_small_v2,baseline,coco_t2i,0.0812345072627067,0.5062281728176575,22.0,0.0792356356978417,0.49377182718234247
efficientnet_b0__bge_small_en__baseline,efficientnet_b0,bge_small_en,baseline,coco_t2i,0.0901095420122146,0.5615346278738472,20.0,0.0703606009483338,0.4384653721261528
convnext_tiny__all_minilm_l6_v2__baseline,convnext_tiny,all_minilm_l6_v2,baseline,coco_t2i,0.1576317250728607,0.9823118629090676,2.0,0.002838417887687711,0.01768813709093242
swin_tiny__bge_small_en__baseline,swin_tiny,bge_small_en,baseline,coco_t2i,0.1116574704647064,0.6958146132652065,14.0,0.04881267249584201,0.30418538673479345
swin_tiny__distilbert__baseline,swin_tiny,distilbert,baseline,coco_t2i,0.0852722451090812,0.5313900987178991,21.0,0.0751978978514672,0.4686099012821009
swin_tiny__all_minilm_l6_v2__baseline,swin_tiny,all_minilm_l6_v2,baseline,coco_t2i,0.1252898424863815,0.7807673139369236,13.0,0.0351803004741669,0.21923268606307644
swin_tiny__e5_small_v2__baseline,swin_tiny,e5_small_v2,baseline,coco_t2i,0.1043815463781356,0.6504733182907291,17.0,0.0560885965824128,0.3495266817092709
dinov2_vits14__all_minilm_l6_v2__local,dinov2_vits14,all_minilm_l6_v2,local,coco_t2i,0.1604701429605484,1.0,1.0,0.0,0.0
convnextv2_tiny__all_minilm_l6_v2__local_global,convnextv2_tiny,all_minilm_l6_v2,local_global,coco_t2i,0.1547933220863342,0.9646238186775352,3.0,0.0056768208742142,0.035376181322464784
dinov2_vits14__bge_small_en__local,dinov2_vits14,bge_small_en,local,coco_t2i,0.154113695025444,0.9603885943027599,5.0,0.006356447935104398,0.03961140569724009
convnext_tiny__all_minilm_l6_v2__baseline,convnext_tiny,all_minilm_l6_v2,baseline,cifar100,0.264299988746643,0.8872104615258407,9.0,0.033600002527236994,0.11278953847415929
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,cifar100,0.2345000058412552,0.7871769476678606,15.0,0.06339998543262482,0.21282305233213938
convnext_tiny__e5_small_v2__baseline,convnext_tiny,e5_small_v2,baseline,cifar100,0.2657999992370605,0.8922457436149847,6.0,0.032099992036819514,0.10775425638501535
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,cifar100,0.2694000005722046,0.9043303405958364,5.0,0.028499990701675415,0.09566965940416361
